stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,rating.response,rating.rt,rating.started,rating.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,7.480905386968516,None,10.476317799999379,None,return,0.9500727660488337,10.476317799999379,None,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,0,0,0,8,,,,,,,,,11.443702789954841,None,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,0,1,1,15,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,0,2,2,6,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,0,3,3,10,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,0,4,4,17,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,0,5,5,13,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,0,6,6,9,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,0,7,7,18,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,0,8,8,1,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,0,9,9,11,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,0,10,10,3,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,0,11,11,7,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,0,12,12,19,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,0,13,13,5,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,0,14,14,12,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,0,15,15,4,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,0,16,16,0,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,0,17,17,16,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,0,18,18,2,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,0,19,19,14,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,1,0,20,1,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,1,1,21,6,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,1,2,22,11,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,1,3,23,14,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,1,4,24,18,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,1,5,25,4,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,1,6,26,2,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,1,7,27,15,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,1,8,28,13,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,1,9,29,12,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,1,10,30,0,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,1,11,31,5,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,1,12,32,10,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,1,13,33,8,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,1,14,34,7,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,1,15,35,19,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,1,16,36,16,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,1,17,37,3,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,1,18,38,17,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,1,19,39,9,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,2,0,40,12,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,2,1,41,2,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,2,2,42,0,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,2,3,43,7,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,2,4,44,10,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,2,5,45,11,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,2,6,46,14,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,2,7,47,17,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,2,8,48,18,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,2,9,49,19,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,2,10,50,8,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,2,11,51,3,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,2,12,52,6,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,red,2,13,53,13,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,2,14,54,5,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,2,15,55,4,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,2,16,56,16,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,red,2,17,57,1,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
green,green,2,18,58,9,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
red,green,2,19,59,15,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
,,,,,,,,,,,,,,,,3,1.048,,,,,,2020_Dec_02_1156,stroop,2020.2.9,59.88199224560776,
,,,,,,,,,,,,,,,,,,0.010015573585405946,None,14.532918768934906,None,,,,,,
