image,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,hello.started,hello.stopped,welcome.started,welcome.stopped,wait_key.started,wait_key.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stim.started,stim.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,3.3740769010037184,5.380927119054832,5.369428668054752,7.375825226074085,7.365758207975887,None,return,12.637026339070871,7.365758207975887,None,,,01,2020_Nov_30_1629,intropy_demo,2020.2.9,108.75706202235718,
Python.png,0,0,0,0,,,,,,,,,,,20.060458503081463,None,01,2020_Nov_30_1629,intropy_demo,2020.2.9,108.75706202235718,
