welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,participant,date,expName,psychopyVersion,frameRate,
5.662318433984183,None,8.663489285041578,None,return,0.4647894490044564,8.663489285041578,None,,,,2020_Dec_02_1007,stroop,2020.2.9,59.98590199060269,
,,,,,,,,9.146024639019743,None,,,,,,
