stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,yes_circle.started,yes_circle.stopped,no_circle.started,no_circle.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
red,red,1,2,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,1,3,23,14,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,1,4,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,1,5,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,1,6,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,1,7,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,1,8,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,1,9,29,9,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,1,10,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,1,11,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,1,12,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,1,13,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,1,14,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,1,15,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,1,16,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,1,17,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,1,18,38,16,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,1,19,39,18,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,2,0,40,16,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,2,1,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,2,2,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,2,3,43,10,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,2,4,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,2,5,45,17,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,2,6,46,6,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,2,7,47,14,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,2,8,48,8,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,2,9,49,11,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,2,10,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,2,11,51,15,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,2,12,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,2,13,53,3,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,2,14,54,18,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,2,15,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,2,16,56,12,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,2,17,57,9,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,2,18,58,19,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,2,19,59,4,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
,,,,,,,,,,,,,,,,13.650706059997901,None,13.650706059997901,None,0.49166666666666664,0.001851851851851852,1,0,0,no_circle,0.010104232816956937,None,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.557395300013013,None,,,,,,
