stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,yes_circle.started,yes_circle.stopped,no_circle.started,no_circle.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,8.014193288981915,None,11.012044716975652,None,return,0.5978894489817321,11.012044716975652,None,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,0,0,0,18,,,,,,,,,11.622952535981312,None,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,0,4,4,17,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,0,8,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,0,13,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,green,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,red,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
green,red,1,0,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
red,green,1,1,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,59.98012619146557,
