stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,rating.response,rating.rt,rating.started,rating.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
red,red,2,7,47,11,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,2,8,48,13,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,2,9,49,14,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,2,10,50,9,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,2,11,51,18,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,2,12,52,12,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,2,13,53,0,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,2,14,54,1,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,2,15,55,16,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,red,2,16,56,4,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,green,2,17,57,19,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
red,red,2,18,58,10,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
green,green,2,19,59,5,,,,,,,,,,,,,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
,,,,,,,,,,,,,,,,2,3.647,,,,,,2020_Dec_02_1156,stroop,2020.2.9,60.026074155524434,
,,,,,,,,,,,,,,,,,,0.01231799169909209,None,16.885258898022585,None,,,,,,
