stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,yes_circle.started,yes_circle.stopped,no_circle.started,no_circle.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,ty_txt.started,ty_txt.stopped,participant,date,expName,psychopyVersion,frameRate,
green,green,2,0,40,5,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,2,1,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,2,2,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,2,3,43,16,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,2,4,44,18,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,2,5,45,6,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,2,6,46,3,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,2,7,47,12,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,2,8,48,17,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,2,9,49,7,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,2,10,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,2,11,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,green,2,12,52,8,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,2,13,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,2,14,54,19,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,green,2,15,55,15,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,2,16,56,11,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
green,red,2,17,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,2,18,58,13,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
red,red,2,19,59,14,,,,,,,,,,,,,,,,,,,,,,,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
,,,,,,,,,,,,,,,,13.044977255980484,None,13.044977255980484,None,-0.4979166666666667,-0.016666666666666666,1,0,0,yes_circle,0.010113314492627978,None,,,,2020_Dec_02_1204,stroop,2020.2.9,60.26542836671339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.91692820400931,None,,,,,,
