stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,trial_txt.started,trial_txt.stopped,trial_resp.keys,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_dot.started,fix_dot.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,6.88690939405933,None,9.9002523800591,None,return,0.5139194460352883,9.9002523800591,None,,,,,,,,,,,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,red,0,0,0,1,,,,,,,,,10.43414066999685,None,12.439621663070284,None,right,2.15449397591874,12.439621663070284,None,14.616312924074009,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,0,1,1,11,,,,,,,,,,,15.11700395110529,None,right,0.8773504010168836,15.11700395110529,None,16.01694851904176,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,red,0,2,2,3,,,,,,,,,,,16.51708821405191,None,right,0.4572936149779707,16.51708821405191,None,16.999699693056755,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,0,3,3,19,,,,,,,,,,,17.50026110606268,None,left,0.5139876180328429,17.50026110606268,None,18.032857038080692,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,0,4,4,17,,,,,,,,,,,18.532337169046514,None,left,0.3420383930206299,18.532337169046514,None,18.8994283110369,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,0,5,5,13,,,,,,,,,,,19.39896480506286,None,right,0.45538422791287303,19.39896480506286,None,19.885653130011633,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,green,0,6,6,18,,,,,,,,,,,20.39964186004363,None,right,0.6945198390167207,20.39964186004363,None,21.11555012210738,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
red,red,0,7,7,14,,,,,,,,,,,21.616369198076427,None,right,0.578046687063761,21.616369198076427,None,22.216310117044486,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
green,green,0,8,8,7,,,,,,,,,,,22.715658295084722,None,left,0.6985521609894931,22.715658295084722,None,23.43208531604614,None,,2020_Dec_02_1122,stroop,2020.2.9,60.006671451421326,
