stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,welcome_txt.started,welcome_txt.stopped,instructions_txt.started,instructions_txt.stopped,instructions_resp.keys,instructions_resp.rt,instructions_resp.started,instructions_resp.stopped,polygon.started,polygon.stopped,trial_txt.started,trial_txt.stopped,trial_resp.keys,trial_resp.rt,trial_resp.started,trial_resp.stopped,fix_dot.started,fix_dot.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,6.380788338952698,None,9.381103291991167,None,return,0.5037555219605565,9.381103291991167,None,,,,,,,,,,,,2020_Dec_02_1344,stroop,2020.2.9,60.64382550817385,
red,green,0,0,0,18,,,,,,,,,9.912873995956033,None,11.919261152972467,None,left,1.0679265320068225,11.919261152972467,None,13.011752869002521,None,,2020_Dec_02_1344,stroop,2020.2.9,60.64382550817385,
green,green,0,1,1,9,,,,,,,,,,,13.378810488036834,None,right,0.4670191229088232,13.378810488036834,None,13.862527591991238,None,,2020_Dec_02_1344,stroop,2020.2.9,60.64382550817385,
green,green,0,2,2,7,,,,,,,,,,,14.82870005897712,None,left,0.35614614898804575,14.82870005897712,None,15.213015554007143,None,,2020_Dec_02_1344,stroop,2020.2.9,60.64382550817385,
